2 2 2
6 3 5 4 3 2

Coordinates
1            5            0            5
2            5            0            0
3            0            5            5
4            0            5            0
5           -5            0            5
6           -5            0            0
EndCoordinates

Elements
1 4 2 1 6
2 1 3 4 6
3 3 5 6 1
EndElements

Dirichlet_u
1           0
2           1 
3           1       
4           1
5           1
6           10
EndDirichlet

Dirichlet_v
1           0
2           1 
3           1       
4           1
5           1
6           10
EndDirichlet

Dirichlet_w
1           0
2           1 
3           1       
4           1
5           1
6           10
EndDirichlet

Dirichlet_Gp
1           0
2           1 
3           1       
4           1
5           1
6           10
EndDirichlet
